F1,clean_pos,Salary,ex_1_duartion,schools.university_1.study_field,schools.university_2.study_field,clean_comp
35,Senior Associate,85611,3 yrs,Economics; Japanese,,athenahealth
36,Student,23400,6 mos,Finance,"Economics, Finance & Accounting",Boston University
37,Strategic Account Manager,96640,5 mos,Information Technology,Computer and Information Sciences,Acronis
38,QA Team Lead,95841,4 yrs 3 mos,"Information Technology Project Management, Information security concentration",Information Technology,UNFI
39,Senior Advisor,108733,7 mos,,Civil Engineering,Boston Planning & Development Agency
40,Senior Audit Manager,83007,2 yrs 4 mos,Accounting,"Business Administration, Accounting",KLR
42,Security Coordinator,107000,6 mos,"Criminal Justice/Law Enforcement Administration,",,Draper
43,Procurement Planner,70408,6 yrs 7 mos,Supply Chain Management and Entrepreneurship,,Saudi Aramco
44,Graduate Student,36813,less than a year,Informatics,Computer Science,Northeastern University
45,Accounting Manager,98576,12 yrs 7 mos,"Business Administration and Management, General",Finance and Financial Management Services,John Hancock Financial Services
46,Principal Account Executive,73878,3 yrs 1 mo,Accounting and Finance,Business/Managerial Economics,HubSpot
48,Content Marketing Manager,81825,10 mos,"Communication, General",,Lux Research
49,Senior Software Engineer,128383,10 mos,Computer Science,Computer Engineering,Veracode
50,Scientist I,133938,2 yrs 1 mo,Biotechnology,Biotechnology,UCB
51,Staff Software Engineer,116682,4 yrs 1 mo,Computer Science,,Intuit
52,Scientist,116079,4 mos,Biotechnology (Pharmaceutical Science),"Biological Science, Chemistry, Sociology",Agios Pharmaceuticals
54,Assistant Teaching Professor,74897,4 yrs 6 mos,Industrial Engineering,Operations Research,Northeastern University
55,Client Manager,75729,6 yrs 11 mos,Criminal Justice,Criminal Justice,Northeast Security Inc.
56,Senior Clinical Trial Associate,90614,1 yr 7 mos,"Behavioral Neuroscience, Minor in History",,Seres Therapeutics
58,People Business Partner,68590,1 yr 1 mo,Psychology,,Thrasio
59,Senior Solutions Consultant,126755,2 yrs 8 mos,Computer Science and Mathematics,,SHYFT Analytics
60,Associate Director Regulatory Affairs,82678,5 mos,Regulatory Affairs,,Biogen
61,Senior Data Manager,112490,1 yr 9 mos,Business Administration - Marketing Concentration; Biology Minor,,Purple Carrot
62,Emergency Medicine Physician Assistant,195843,3 yrs 6 mos,Physician Assistant,"Health Professions and Related Clinical Sciences, Other",Wake Forest Baptist Health
63,Co,45606,5 mos,College Student Development and Counseling,Industrial Engineering,University of Massachusetts Lowell
66,Research Scientist,94055,6 mos,Electrical and Electronics Engineering,Electrical and Electronics Engineering,Bytedance
67,Senior Local Content Specialist,81825,11 mos,Entrepreneurship Concentration,Industrial Engineering,Ørsted Offshore North America
69,Senior Datawarehouse Developer Analyst,86627,5 yrs 1 mo,Information System,,MathWorks
70,Software Engineer,75842,2 yrs 5 mos,Computer Science,Financial Marketing and Institutions,TraceLink
71,Digital Marketing Manager,65677,6 mos,Organizational Communication (Major) Psychology (Minor),Global Communication Studies & Fine Arts,Coiled
